nazwa,grupa,sprzet,trudnosc,opis,bledy,jednostronne,pomiar
Przysiad ze sztangą (low bar),nogi,Stojak/sztanga,3,Sztanga niżej na plecach niż w high bar. Większe pochylenie tułowia i zaangażowanie pośladków/dwugłowych. Zejdź do pełnego zakresu z prostymi plecami.,Zbyt pionowy tułów (→ high bar zamiast low bar). Odrywanie pięt.,nie,reps
Przysiad z gumą oporową (banded squat),nogi,Guma oporowa/stojak,2,Guma zaczepiona nisko z tyłu. Wykonuj przysiad pokonując dodatkowy opór na górze ruchu. Buduje moc wyjścia z dołu.,Zbyt lekka guma bez realnego oporu na górze. Chwiejność przy napięciu gumy.,nie,reps
Przysiad pistoletowy (pistol squat),nogi,Brak,3,Stań na jednej nodze druga wyprostowana przed sobą. Zejdź do pełnego przysiadu zachowując równowagę i wróć.,Utrata balansu. Odrywanie pięty nogi podporowej.,tak,reps
Wykrok w bok (lateral lunge),nogi,Hantle,2,Szeroki krok w bok zginając kolano robocze druga noga prosta. Biodra cofnięte jak w przysiadzie jednonóż.,Pochylanie tułowia do przodu. Kolano robocze zapada się do środka.,tak,reps
Wykrok stacjonarny (stationary split squat),nogi,Hantle,2,Nogi w rozkroku przód-tył jak w wykroku ale bez ruchu do przodu. Opuszczaj tylne kolano pionowo w dół.,Zbyt krótki rozkrok. Przenoszenie ciężaru na palce przedniej stopy.,tak,reps
Prostowanie nogi na maszynie (leg extension),nogi,Maszyna,1,Siedząc oprzyj plecy o oparcie. Prostuj kolana unosząc wałek nie odrywając ud od siedziska.,Szarpanie ciężaru. Przeprost w kolanie na górze ruchu.,nie,reps
Uginanie nóg leżąc (lying leg curl),nogi,Maszyna,1,Leżenie przodem biodra dociśnięte do ławki. Uginaj kolana przyciągając wałek do pośladków.,Unoszenie bioder z ławki. Zbyt szybkie opuszczanie.,nie,reps
Uginanie nóg siedząc (seated leg curl),nogi,Maszyna,1,Siedząc nogi na wałku przed sobą. Uginaj kolana pod siedzisko kontrolowanym ruchem.,Odrywanie pleców od oparcia. Szarpanie na starcie ruchu.,nie,reps
Przysiad Zercher,nogi,Sztanga,3,Sztanga trzymana w zgięciach łokci przed klatką. Zejdź do przysiadu z pionowym tułowiem.,Zbyt duży ciężar obciążający przedramiona. Garbienie się.,nie,reps
Hip thrust jednonóż,nogi,Ławka,2,Plecy oparte o ławkę jedna stopa na podłodze druga uniesiona. Wypychaj biodra w górę jedną nogą.,Rotacja miednicy w trakcie ruchu. Zbyt mały zakres.,tak,reps
Good morning (przedgięcie tułowia ze sztangą),nogi,Sztanga,3,Sztanga na plecach jak w przysiadzie. Zawias w biodrach z lekko ugiętymi kolanami tułów opada do przodu.,Zaokrąglanie pleców. Zginanie w kolanach zamiast w biodrach.,nie,reps
Nordic curl (ekscentryczne uginanie ud),nogi,Partner/drążek do stóp,3,Kolana unieruchomione partner trzyma stopy. Opuszczaj tułów do przodu jak najwolniej kontrolując dwugłowe uda.,Zbyt szybkie opadanie. Zginanie w biodrach zamiast pracy z kolan.,nie,reps
Przywodzenie bioder na maszynie (adduction),nogi,Maszyna,1,Siedząc poduszki po wewnętrznej stronie ud. Ściskaj kolana do środka kontrolowanie.,Zbyt duży ciężar i szarpanie. Brak kontroli powrotu.,nie,reps
Przysiad w suwnicy Smitha,nogi,Suwnica Smitha,1,Sztanga prowadzona torem suwnicy. Stopy lekko przed sobą dla naturalnego toru kolan.,Zbyt pionowy tor przy stopach ustawionych pod sztangą. Odrywanie pięt.,nie,reps
Wykrok chodzony z kettlebell (goblet),nogi,Kettlebell,2,Kettlebell trzymany przy klatce oburącz. Wykonuj długie kroki wykroczne idąc do przodu.,Zbyt krótkie kroki. Pochylanie tułowia do przodu.,tak,reps
Wyskok na skrzynię (box jump),nogi,Skrzynia plyo,2,Dynamiczny wyskok obunóż na skrzynię z miękkim lądowaniem w półprzysiadzie. Schodź stopniowo nie zeskakuj.,Lądowanie na prostych nogach. Zbyt wysoka skrzynia na start.,nie,reps
Wymachy kettlebell (kettlebell swing),nogi,Kettlebell,2,Zawias biodrowy napędza wymach kettla do wysokości klatki. Moc generowana z bioder nie z ramion.,Podnoszenie ciężaru rękami zamiast biodrami. Zaokrąglanie pleców.,nie,reps
Przysiad w pasie biodrowym (belt squat),nogi,Pas/maszyna belt squat,2,Obciążenie zawieszone na biodrach przez pas. Wykonuj przysiad bez obciążania kręgosłupa osiowo.,Zbyt duży ciężar destabilizujący pas. Płytki zakres ruchu.,nie,reps
Podciąganie podchwytem (chin-up),plecy,Drążek,2,Chwyt podchwytem na szerokość barków. Podciągnij brodę nad drążek angażując mocniej biceps.,Bujanie ciałem. Niepełne opuszczanie w dolnej fazie.,nie,reps
Podciąganie chwytem neutralnym,plecy,Drążek z uchwytami równoległymi,2,Dłonie skierowane do siebie. Podciągaj się ściągając łopatki w dół i do tyłu.,Szarpanie na starcie. Brak pełnego wyprostu ramion na dole.,nie,reps
Wiosłowanie hantlami oburącz w opadzie,plecy,Hantle,2,Tułów pochylony ~45 stopni plecy proste. Przyciągaj hantle do bioder ściągając łopatki.,Zaokrąglanie pleców. Prostowanie tułowia przy szarpaniu ciężaru.,nie,reps
Wiosłowanie na maszynie z oparciem klatki,plecy,Maszyna,1,Klatka oparta o podpórkę co odciąża dolny odcinek pleców. Przyciągaj uchwyty do tułowia.,Odrywanie klatki od oparcia. Zbyt szybkie tempo.,nie,reps
Ściąganie drążka wąskim chwytem,plecy,Wyciąg górny,1,Wąski uchwyt V-bar lub prosty drążek. Ściągaj do górnej części klatki z łokciami blisko ciała.,Odchylanie tułowia do tyłu. Ciągnięcie za kark.,nie,reps
Ściąganie drążka uchwytem neutralnym (V-bar),plecy,Wyciąg górny,1,Uchwyt V-bar dłonie skierowane do siebie. Ściągaj kontrolowanie do klatki.,Bujanie tułowiem. Zbyt duży ciężar ograniczający zakres.,nie,reps
Wiosłowanie gumą oporową,plecy,Guma oporowa,1,Guma zaczepiona na wysokości klatki. Przyciągaj do tułowia ściągając łopatki z łokciami blisko ciała.,Zbyt luźna guma bez napięcia na starcie. Szarpanie.,nie,reps
Martwy ciąg z trap bar,plecy,Trap bar/sztanga heksagonalna,2,Stań wewnątrz trap bar uchwyty po bokach. Ruch bardziej pionowy niż w klasycznym martwym ciągu odciąża dolny odcinek pleców.,Zaokrąglanie pleców. Zbyt daleko cofnięte biodra na starcie.,nie,reps
Wiosłowanie jednorącz na wyciągu dolnym,plecy,Wyciąg dolny,1,Jedna ręka ciągnie linkę do biodra druga stabilizuje na podpórce. Ściągaj łopatkę w stronę kręgosłupa.,Rotacja tułowia podczas ciągnięcia. Szarpanie ciężaru.,tak,reps
Superman (extension pleców leżąc),plecy,Brak,1,Leżenie przodem ręce wyciągnięte przed siebie. Unieś jednocześnie ręce klatkę i nogi napinając plecy.,Zbyt gwałtowny ruch. Przeprost szyi do góry.,nie,reps
Ściąganie prostymi ramionami (straight-arm pulldown),plecy,Wyciąg górny/lina,1,Ramiona proste przez cały ruch. Pociągnij linkę w dół łukiem aż do ud angażując najszerszy grzbietu.,Zginanie łokci w trakcie ruchu. Zbyt duży ciężar wymuszający pomoc barkami.,nie,reps
Wiosłowanie Meadows (jednorącz przy stojaku),plecy,Sztanga w landmine,2,Jeden koniec sztangi osadzony w landmine. Chwyć blisko obciążenia i wiosłuj jednorącz z rotacją tułowia.,Zbyt duża rotacja tułowia zamiast pracy pleców. Szarpanie.,tak,reps
Martwy ciąg częściowy (rack pull),plecy,Sztanga/stojak,3,Sztanga ustawiona na wysokości kolan lub nad nimi w stojaku. Skrócony zakres ruchu z większym obciążeniem niż w pełnym martwym ciągu.,Zbyt duży ciężar psujący technikę. Odchylanie do tyłu na górze ruchu.,nie,reps
Podciąganie asystowane na maszynie,plecy,Maszyna asystująca,1,Kolana lub stopy na podpórce równoważącej część masy ciała. Podciągaj się pełnym zakresem jak w zwykłym podciąganiu.,Zbyt duża asysta ułatwiająca cały ruch. Niepełny zakres.,nie,reps
Wiosłowanie kettlebell w podporze (renegade row),plecy,Kettlebell,3,Podpór jak do pompek dłonie na uchwytach kettli. Wiosłuj jedną ręką utrzymując stabilne biodra.,Rotacja bioder podczas ciągnięcia. Zbyt szeroki rozstaw nóg ułatwiający balans.,tak,reps
Wiosłowanie sztangą podchwytem w opadzie,plecy,Sztanga,2,Chwyt podchwytem tułów pochylony ~45 stopni. Przyciągaj sztangę do dolnej części brzucha mocniej angażując biceps.,Zaokrąglanie pleców. Odbijanie ciężaru tułowiem.,nie,reps
